,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers
10,SRM-Institute-of-Science-and-Technology-1,Can I get into any of the SRM campuses with 92% in boards? Also preferably CSE,0,2,0/2,No,Requested,2020-08-01,https://www.quora.com/Can-I-get-into-any-of-the-SRM-campuses-with-92-in-boards-Also-preferably-CSE,"Your 12th marks is excel. CSE is the major demanding stream at SRM so there's little doubt but yes you can get CSE at main campus. If not CSE, you would get other desired stream for sure. "
11,SRM-Institute-of-Science-and-Technology-1,What about placements in SRM law college?,2,1,2/1,No,Followed,2020-08-01,https://www.quora.com/What-about-placements-in-SRM-law-college,"See, SRM law is one of the sophisticated department in main campus. Once you entered in law you needn't to be worry about placement. You have to work little harder and you will definitely get selected during campus selection. SRM provides top quality lawyers. "
12,SRM-Institute-of-Science-and-Technology-1,When will the SRM B.Tech counselling start for 2020?,1,2,1/2,No,Followed,2020-08-01,https://www.quora.com/When-will-the-SRM-B-Tech-counselling-start-for-2020,The counselling is held in phases. The phases or the rounds of the counseling depends on the number of the vacant seats left after each of the rounds. Last year 3 round of the counselling was held. Since the entrance exam has been cancelled the counselling process also changes accordingly. The new process is yet to be announced by SRM. May be counselling will start on August 2nd week. 
13,SRM-Institute-of-Science-and-Technology-1,When will the SRM B.Tech counselling start for 2020?,1,2,1/2,No,Followed,2020-08-01,https://www.quora.com/When-will-the-SRM-B-Tech-counselling-start-for-2020,"Usually it should start from June, due to pandamic it is not happening now. SRM admin team is the right place to contact for more details. Here is the number 044 4743 7500. "
14,SRM-Institute-of-Science-and-Technology-1,Did SRM Ramapuram campus have all lab facilities for electrical and electronic engineering the same as SRM KTR or VIT Chennai?,1,1,1/1,No,Followed,2020-08-01,https://www.quora.com/Did-SRM-Ramapuram-campus-have-all-lab-facilities-for-electrical-and-electronic-engineering-the-same-as-SRM-KTR-or-VIT-Chennai,"Considering SRM , SRM ktr or SRM NCR ghaziabad campuses are good New SRM AP is also excellent , it has better facilities and faculty compared to any other private college in India , better faculty compared to nit’s "
15,SRM-Institute-of-Science-and-Technology-1,I have 89.6% in boards and 70%ile in Mains. Can I get CSE at SRM Chennai?,1,3,1/3,No,Followed,2020-08-01,https://www.quora.com/I-have-89-6-in-boards-and-70-ile-in-Mains-Can-I-get-CSE-at-SRM-Chennai,You can get CSE at SRM main campus as University is providing seat on the basis of 12th marks this year and you have got maximim percentage. But your percentile may create problem. 
16,SRM-Institute-of-Science-and-Technology-1,I have 89.6% in boards and 70%ile in Mains. Can I get CSE at SRM Chennai?,1,3,1/3,No,Followed,2020-08-01,https://www.quora.com/I-have-89-6-in-boards-and-70-ile-in-Mains-Can-I-get-CSE-at-SRM-Chennai,"Yes, you can because admission is based on board marks this year and as you scored maximum in board so there's is fair chance for you to get seat in CSE at SRM Chennai. "
17,SRM-Institute-of-Science-and-Technology-1,What are views about SRM University katanlapur based on your experience I am about to join?,0,3,0/3,No,Requested,2020-08-01,https://www.quora.com/What-are-views-about-SRM-University-katanlapur-based-on-your-experience-I-am-about-to-join,"From a fresher’s perspective, I’ll detail the pros as experienced by me: Pros: Huge campus: the campus is verg big and there are lot of cool buildings to see, the infrastructure is top class.Every floor has canteen and adequate RO Drinking water outlets are available.There are elevator facilities in every building (although you have to have some patience as they are full most of the times, and they stop at certain floors only)Atleast in the University Buliding, all the classrooms are Air Conditioned hence you don’t need to worry about the scroching summer winds.All classrooms have SMART learningContinue ReadingFrom a fresher’s perspective, I’ll detail the pros as experienced by me: Pros: Huge campus: the campus is verg big and there are lot of cool buildings to see, the infrastructure is top class.Every floor has canteen and adequate RO Drinking water outlets are available.There are elevator facilities in every building (although you have to have some patience as they are full most of the times, and they stop at certain floors only)Atleast in the University Buliding, all the classrooms are Air Conditioned hence you don’t need to worry about the scroching summer winds.All classrooms have SMART learning tools, they have projector and screen for interactive learningNO RAGGING whatsoever, ragging is a crime and I know of no instance of it here.The Java Green and Tech Park Annexure are great canteen that provide varitey of tasty foods at affordable prices.The Library: Infact this should have been the first point, the library is world-class, has an astounding collection of books on atleast 100 hundred different fields. Ranging from Physics, Maths, Sanskrit, Tamil, Law to almost anything, they have a book.The digital infrastructure is also excellent, the attendence and scores are updated and the app they use is also without complaints.You can get pretty much whatever you want, from the campus.There is great support from Research and Innovation, the clubs are very active, they have lot of activities everyday."
18,SRM-Institute-of-Science-and-Technology-1,What are views about SRM University katanlapur based on your experience I am about to join?,0,3,0/3,No,Requested,2020-08-01,https://www.quora.com/What-are-views-about-SRM-University-katanlapur-based-on-your-experience-I-am-about-to-join,University is great. It is upto you how u perform. It has all ingredients to cater a good student. 
19,SRM-Institute-of-Science-and-Technology-1,Is the SRM 2020 result declared?,2,3,2/3,No,Followed,2020-07-31,https://www.quora.com/Is-the-SRM-2020-result-declared,Nope. Wait for few more days. University will declare the result soon. 
20,SRM-Institute-of-Science-and-Technology-1,Is the SRM 2020 result declared?,2,3,2/3,No,Followed,2020-07-31,https://www.quora.com/Is-the-SRM-2020-result-declared,"No, not yet. It will be declared soon. Wait for minimum 2-3 days. "
21,SRM-Institute-of-Science-and-Technology-1,"How is Computer Science and Business system Engineering at SRM KTR? What should I choose, Electronics and Computer Engineering or Computer Science & Business System Engineering?",1,3,1/3,No,Followed,2020-07-31,https://www.quora.com/How-is-Computer-Science-and-Business-system-Engineering-at-SRM-KTR-What-should-I-choose-Electronics-and-Computer-Engineering-or-Computer-Science-Business-System-Engineering,"computer science & business system engineering at srm ktr campus is somewhat inclined towards teaching you about how you can use the technical knowledge into developing a business and giving you a clear idea about how exactly now a days businesses are leveraging to deliver some of the best products this world has produced. Choosing electronics and computer science is somewhat mainly related to the hardware part of a computer. If you enjoy designing chip-sets, enjoy studying about processors and enjoy learning about various latest hardware discoveries, then you may consider that as a valuable op Continue Readingcomputer science & business system engineering at srm ktr campus is somewhat inclined towards teaching you about how you can use the technical knowledge into developing a business and giving you a clear idea about how exactly now a days businesses are leveraging to deliver some of the best products this world has produced. Choosing electronics and computer science is somewhat mainly related to the hardware part of a computer. If you enjoy designing chip-sets, enjoy studying about processors and enjoy learning about various latest hardware discoveries, then you may consider that as a valuable option to go for. After all, choice is yours, decide accordingly. "
22,SRM-Institute-of-Science-and-Technology-1,"How is Computer Science and Business system Engineering at SRM KTR? What should I choose, Electronics and Computer Engineering or Computer Science & Business System Engineering?",1,3,1/3,No,Followed,2020-07-31,https://www.quora.com/How-is-Computer-Science-and-Business-system-Engineering-at-SRM-KTR-What-should-I-choose-Electronics-and-Computer-Engineering-or-Computer-Science-Business-System-Engineering,"All these are fancy names given to CS branch. Either choose CS with AI, machine learning etc as electives or go for EC. "
23,SRM-Institute-of-Science-and-Technology-1,I got 91 percent in the TS board and 92.67 percentile in the JEE Main. Are there any chances to get into SRM or VIT preferably CSC or ECE?,1,1,1/1,No,Followed,2020-07-31,https://www.quora.com/I-got-91-percent-in-the-TS-board-and-92-67-percentile-in-the-JEE-Main-Are-there-any-chances-to-get-into-SRM-or-VIT-preferably-CSC-or-ECE,"Yes , you have more chances than a lot of students because acc to your percentile the students above your rank will most possibly get govt colleges hence your change are high "
24,SRM-Institute-of-Science-and-Technology-1,"Which is better option for CSE Engineering, SRM or UPES Dehradun?",1,1,1/1,No,Followed,2020-07-31,https://www.quora.com/Which-is-better-option-for-CSE-Engineering-SRM-or-UPES-Dehradun,SRM is way better than UPES 
25,SRM-Institute-of-Science-and-Technology-1,Is there no chance to vitee or SRM then what we have to do?,0,1,0/1,No,Requested,2020-07-30,https://www.quora.com/Is-there-no-chance-to-vitee-or-SRM-then-what-we-have-to-do,Your 12th score will grab your seat. Have faith! 
26,SRM-Institute-of-Science-and-Technology-1,Can I get into ECE in SRM or VITEEE?,0,2,0/2,No,Requested,2020-07-30,https://www.quora.com/Can-I-get-into-ECE-in-SRM-or-VITEEE,Yess you can all you need is a good guidance! All the best with your score 
27,SRM-Institute-of-Science-and-Technology-1,Can I get into ECE in SRM or VITEEE?,0,2,0/2,No,Requested,2020-07-30,https://www.quora.com/Can-I-get-into-ECE-in-SRM-or-VITEEE,Vit 
28,SRM-Institute-of-Science-and-Technology-1,Is KIIT CSE or IT worth joining as it's fees is quite high as compared to VIT or SRM?,2,7,2/7,No,Followed,2020-07-30,https://www.quora.com/Is-KIIT-CSE-or-IT-worth-joining-as-its-fees-is-quite-high-as-compared-to-VIT-or-SRM,This answer is in Indian context: Choose the nearer among the three colleges mentioned in the question because all three are the same colleges running in three different buildings. These colleges are called as fraud private Indian engineering colleges because they force their engineering students to not to gain the industry relevant skills by not offering them these facilities.  It would become extremely difficult for engineering students from any Indian engineering college to gain the industry relevant skills if his/her Indian engineering college does not offer these facilities to its engineering Continue ReadingThis answer is in Indian context: Choose the nearer among the three colleges mentioned in the question because all three are the same colleges running in three different buildings. These colleges are called as fraud private Indian engineering colleges because they force their engineering students to not to gain the industry relevant skills by not offering them these facilities.  It would become extremely difficult for engineering students from any Indian engineering college to gain the industry relevant skills if his/her Indian engineering college does not offer these facilities to its engineering students. Please consult the seniors. The demand of the industry has changed.  I have solved the education and unemployment problem for Indian youth through my research on Indian education system. 
29,SRM-Institute-of-Science-and-Technology-1,Is KIIT CSE or IT worth joining as it's fees is quite high as compared to VIT or SRM?,2,7,2/7,No,Followed,2020-07-30,https://www.quora.com/Is-KIIT-CSE-or-IT-worth-joining-as-its-fees-is-quite-high-as-compared-to-VIT-or-SRM,it doesn't matter that if its fees is high then it will be better. I'll say VIT is much much better especially for CSE or IT . Rest you're smart enough. 
30,SRM-Institute-of-Science-and-Technology-1,I got 853 in the board exam and I am not qualified in the JEE. Can I get SRM or VITEEE main branch of CSE course?,1,2,1/2,No,Followed,2020-07-30,https://www.quora.com/I-got-853-in-the-board-exam-and-I-am-not-qualified-in-the-JEE-Can-I-get-SRM-or-VITEEE-main-branch-of-CSE-course,You haven’t mentioned your PCM cutoff. This year VIT considers PCM cutoff for admissions. But unfortunately its not possible to get CSE in main branch of both the college unless you atleast have 95+ percentage. 
31,SRM-Institute-of-Science-and-Technology-1,I got 853 in the board exam and I am not qualified in the JEE. Can I get SRM or VITEEE main branch of CSE course?,1,2,1/2,No,Followed,2020-07-30,https://www.quora.com/I-got-853-in-the-board-exam-and-I-am-not-qualified-in-the-JEE-Can-I-get-SRM-or-VITEEE-main-branch-of-CSE-course,"Mostly no. Without having a mains percentile, you mostly won't be able to get CSE in VIT unless you have like 98+ in boards. "
32,SRM-Institute-of-Science-and-Technology-1,What are the chances of getting a seat in SRM if I have 92 percentage and JEE percentile of 89? I have also taken the SAT exam and scored 1310.,1,1,1/1,No,Followed,2020-07-30,https://www.quora.com/What-are-the-chances-of-getting-a-seat-in-SRM-if-I-have-92-percentage-and-JEE-percentile-of-89-I-have-also-taken-the-SAT-exam-and-scored-1310,I would must say don't worry because your marks are good enough and you can definitely get seat in top streams at SRM main campus. 
33,SRM-Institute-of-Science-and-Technology-1,What are the fees at SRM University for a B.Tech in CSE artificial intelligence?,1,1,1/1,No,Followed,2020-07-30,https://www.quora.com/What-are-the-fees-at-SRM-University-for-a-B-Tech-in-CSE-artificial-intelligence,"Turion fee is 250,000rs for people getting admitted in the academic year 18–19 The hostel fees would come around 1,10,000rs if you stay in non-ac rooms (shared by 3 or 4) The transportation costs (if you stay in Chennai) would be 50,000rs per year. The semester exam fee is around 3,000rs per semester. You'll end up spending 15–16 lacs, if you come through SRMJEE. And around 20 lacs, if you come through management quota There are also certain scholarships provided that you score good in board exam and your SRMJEE rank is under 10k. This should answer your question :) "
34,SRM-Institute-of-Science-and-Technology-1,"If I do a bachelor’s in SRM, can I do an M.Tech in VIT?",1,2,1/2,No,Followed,2020-07-30,https://www.quora.com/If-I-do-a-bachelor-s-in-SRM-can-I-do-an-M-Tech-in-VIT,Yes you can do there is no boundation ki jis college say BTech kiya wahi say mtech karna hota hai aisa koyee rule naa pehla thaa aur naa abhi http://aaya.so simply join your choice college for mtech anywhere in India 
35,SRM-Institute-of-Science-and-Technology-1,"If I do a bachelor’s in SRM, can I do an M.Tech in VIT?",1,2,1/2,No,Followed,2020-07-30,https://www.quora.com/If-I-do-a-bachelor-s-in-SRM-can-I-do-an-M-Tech-in-VIT,Yes ofc 
36,SRM-Institute-of-Science-and-Technology-1,I did not attempt the JEE. Can I get into the SRM main campus with 92 percent in the boards?,0,1,0/1,No,Requested,2020-07-29,https://www.quora.com/I-did-not-attempt-the-JEE-Can-I-get-into-the-SRM-main-campus-with-92-percent-in-the-boards,May be as admission process is based upon board percentage and JEE mains percentile this year but as they are giving preference to 12th percentage you might could get admission. If you won't get seat and your preference is SRM main campus then you should contact management quota authorities. 
37,SRM-Institute-of-Science-and-Technology-1,"Is a deemed university (SRM, VIT, Sathyabama) degree valid for doing a master's (MS) in the USA?",1,1,1/1,No,Followed,2020-07-29,https://www.quora.com/Is-a-deemed-university-SRM-VIT-Sathyabama-degree-valid-for-doing-a-masters-MS-in-the-USA,Yes you can do Masters in US but you have to qualify the exam GRE or TOEFL and if you have done publications it is very easy to get a seat in Masters in US 
38,SRM-Institute-of-Science-and-Technology-1,I got 92 percent in my boards and did not attempt the JEE January. Can I get CSE or ECE at SRM main campus with merit?,3,4,3/4,No,Followed,2020-07-29,https://www.quora.com/I-got-92-percent-in-my-boards-and-did-not-attempt-the-JEE-January-Can-I-get-CSE-or-ECE-at-SRM-main-campus-with-merit,"As a adviser I can only say that on the base of the rank it's really hard to get any department at VIT , but on the base of the given rank you can get other department in other campus.But if you only want to take VIT main campus then you can get it through management . To go through management quota you can apply before counseling to book your seat or you can come after the counseling also but if you come late then there are minimum chances that you will get your desired branch so I will recommend you to apply as soon as possible. "
39,SRM-Institute-of-Science-and-Technology-1,I got 92 percent in my boards and did not attempt the JEE January. Can I get CSE or ECE at SRM main campus with merit?,3,4,3/4,No,Followed,2020-07-29,https://www.quora.com/I-got-92-percent-in-my-boards-and-did-not-attempt-the-JEE-January-Can-I-get-CSE-or-ECE-at-SRM-main-campus-with-merit,The University is giving preference to board percentage so you might can get seat in CSE or ECE at SRM main campus. If not then you can enter through management quota. 
40,SRM-Institute-of-Science-and-Technology-1,I got 92 percent in my boards and I did not attempt the JEE. Can I get CS or ECE in SRM main campus with merit fee?,4,1,4/1,Yes,Followed,2020-07-29,https://www.quora.com/I-got-92-percent-in-my-boards-and-I-did-not-attempt-the-JEE-Can-I-get-CS-or-ECE-in-SRM-main-campus-with-merit-fee,"Yes you can get it. SRM doesn’t ask about IIT JEE exam result, it only asks about SRM JEE results for the merit seats. And for management seats, that is also not counted. All the Best "
41,SRM-Institute-of-Science-and-Technology-1,Can I get admissions in VIT or SRM or thappar with JEE percentli94.78 and boards percentage 94.4?,1,1,1/1,No,Requested,2020-07-29,https://www.quora.com/Can-I-get-admissions-in-VIT-or-SRM-or-thappar-with-JEE-percentli94-78-and-boards-percentage-94-4,JEE percentile 94.78 and boards 94.4. Means 94.78 persons are behind or below you!! This is very very bad score! I don’t think you get any of those three colleges not even last graded marriage hall turned engineering college! I suggest you to start a nimbu pani (lemon water vendor) cart… selling the same in front of any of those 3 colleges!. 
42,SRM-Institute-of-Science-and-Technology-1,Is the JEE score obligatory for admission in VIT and SRM?,2,1,2/1,No,Followed,2020-07-29,https://www.quora.com/Is-the-JEE-score-obligatory-for-admission-in-VIT-and-SRM,"Hey there, i hope you are doing well. According the VITEEE circulars, submission of your XII BOARD’s percentage is mandatory. However, weightage will be given to those students who have a score in JEE main as well. Therefore, a clear priority is given to the JEE main results and a decent percentile of around 97–98%,to say the least, would be required to secure admission in the top branches like CSE,IT,ECE etc. I hope this answers your query. "
43,SRM-Institute-of-Science-and-Technology-1,What branch will anyone having 83 percentage in boards get in VIT Chennai and SRM Chennai this year?,2,1,2/1,No,Followed,2020-07-29,https://www.quora.com/What-branch-will-anyone-having-83-percentage-in-boards-get-in-VIT-Chennai-and-SRM-Chennai-this-year,Sorry to say but you won’t get top branch in any of these colleges.. But don’t worry they have Management quota by which you can grab your desired branch by paying some donations… Hope this helps you… All the best!!! 
44,SRM-Institute-of-Science-and-Technology-1,I scored 70.8 percentage in the CBSE class 12 boards. I also have scored 64.9 percentile in the JEE Main exam. Will I get admission in VIT or SRM for the course bio.tech?,2,2,2/2,No,Followed,2020-07-29,https://www.quora.com/I-scored-70-8-percentage-in-the-CBSE-class-12-boards-I-also-have-scored-64-9-percentile-in-the-JEE-Main-exam-Will-I-get-admission-in-VIT-or-SRM-for-the-course-bio-tech,Both VIT and SRM will publish rank on the basis of 12th percentage and JEE percentile. VIT is giving preference to JEE percentile whereas SRM is giving preference to 12th percentage. So there's less chance of getting seat in VIT but you might could get seat in btech biotech at SRM. 
45,SRM-Institute-of-Science-and-Technology-1,I scored 70.8 percentage in the CBSE class 12 boards. I also have scored 64.9 percentile in the JEE Main exam. Will I get admission in VIT or SRM for the course bio.tech?,2,2,2/2,No,Followed,2020-07-29,https://www.quora.com/I-scored-70-8-percentage-in-the-CBSE-class-12-boards-I-also-have-scored-64-9-percentile-in-the-JEE-Main-exam-Will-I-get-admission-in-VIT-or-SRM-for-the-course-bio-tech,"Yes you can, wait for ranks to come. All the best! "
46,SRM-Institute-of-Science-and-Technology-1,I have a JEE percentile of 90 and my boards mark is 88. Can I get into CSE in SRM or VIT?,3,2,3/2,No,Followed,2020-07-29,https://www.quora.com/I-have-a-JEE-percentile-of-90-and-my-boards-mark-is-88-Can-I-get-into-CSE-in-SRM-or-VIT,"First of all congrats on scoring such a nice marks. Afaik, SRM considers only boards mark and therefore your chances are a little dim as there will be students with 90%+, but that doesn't mean you don’t have a chance. And in the case VIT, you might have a good chance as you have got a pretty decent score in boards as well as JEE and also VIT has a large number of seats in CSE. All the best! "
47,SRM-Institute-of-Science-and-Technology-1,I got 97% in the Telangana board. Can I get a seat in the VIT branch of SRM for admissions in 2020?,1,5,1/5,No,Followed,2020-07-28,https://www.quora.com/I-got-97-in-the-Telangana-board-Can-I-get-a-seat-in-the-VIT-branch-of-SRM-for-admissions-in-2020,"Your question seems to be confused one, I am pretty sure you are confused while taking admission nowadays like everyone used to be considering my days too, LOL. Well, many of the private universities take the admission through entrance exams, but if you are considering for this year then your percentage is pretty very good and for sure you can get a good branch over there. Enjoy your upcoming admission procedures!!! "
48,SRM-Institute-of-Science-and-Technology-1,I got 97% in the Telangana board. Can I get a seat in the VIT branch of SRM for admissions in 2020?,1,5,1/5,No,Followed,2020-07-28,https://www.quora.com/I-got-97-in-the-Telangana-board-Can-I-get-a-seat-in-the-VIT-branch-of-SRM-for-admissions-in-2020,"Firstly congratulations for scoring high marks. Your marks are really good so yes you can definitely get seat in SRM or Chennai main campus or other campus in any top stream. But for getting admission in VIT btech, JEE mains percentile is also required as they are considering both boards and JEE marks. "
49,SRM-Institute-of-Science-and-Technology-1,Can I get into SRM Kattankulathur with 92 percent in my boards?,1,9,1/9,No,Followed,2020-07-28,https://www.quora.com/Can-I-get-into-SRM-Kattankulathur-with-92-percent-in-my-boards,Yup! Firstly congratulations for gaining high percentage. With this percentage you can definitely get admission in SRM main campus in top branch as they are giving preference to board percentage this year due to pandemic COVID-19. So best of luck. 
50,SRM-Institute-of-Science-and-Technology-1,Can I get into SRM Kattankulathur with 92 percent in my boards?,1,9,1/9,No,Followed,2020-07-28,https://www.quora.com/Can-I-get-into-SRM-Kattankulathur-with-92-percent-in-my-boards,"Definitely you could. Usually admission in SRM are done with entrance examination, due to present situation they are currently considering +2 marks. As you have pretty good marks, I hope you get a course you wish. All the best "
51,SRM-Institute-of-Science-and-Technology-1,Is anyone joining SRM KTR for ECE this year (2020)?,1,2,1/2,No,Followed,2020-07-28,https://www.quora.com/Is-anyone-joining-SRM-KTR-for-ECE-this-year-2020,"Yes of course, there's number of students who wants to get admission in ECE branch as it is highly skilled and technical stream. But for that your board percentage should be 80+ as they are giving preference to 12th marks this year due to COVID-19. "
52,SRM-Institute-of-Science-and-Technology-1,Is anyone joining SRM KTR for ECE this year (2020)?,1,2,1/2,No,Followed,2020-07-28,https://www.quora.com/Is-anyone-joining-SRM-KTR-for-ECE-this-year-2020,"Yes, I know some of the students who are my colleagues children, trying to get seat in ECE at SRM. It's one of the multi skilled department of engineering with number of talented professors. "
53,SRM-Institute-of-Science-and-Technology-1,"Which university is better for a B.Tech in CSE, Satyabhama, SRM or SASTRA?",2,1,2/1,No,Followed,2020-07-28,https://www.quora.com/Which-university-is-better-for-a-B-Tech-in-CSE-Satyabhama-SRM-or-SASTRA,This answer is in Indian context: Choose the nearer among the three colleges mentioned in the question because all three are the same colleges running in three different buildings. These colleges are called as fraud private Indian engineering colleges because they force their engineering students to not to gain the industry relevant skills by not offering them these facilities.  It would become extremely difficult for engineering students from any Indian engineering college to gain the industry relevant skills if his/her Indian engineering college does not offer these facilities to its engineering students. 
54,SRM-Institute-of-Science-and-Technology-1,What is the cutoff for SRM University for IT now that admission is only based on 12th board marks?,1,3,1/3,No,Followed,2020-07-28,https://www.quora.com/What-is-the-cutoff-for-SRM-University-for-IT-now-that-admission-is-only-based-on-12th-board-marks,"It's not confirm but , I would say that if you want CSE ,or IT stream in SRM then you must score 9O+ percentage in board and for other streams you must score 85+ in boards. Because SRM University is very famous college and many students apply for this college and mainly there is much more competion for CSE ,or IT streams as they have high package placement. "
55,SRM-Institute-of-Science-and-Technology-1,What is the cutoff for SRM University for IT now that admission is only based on 12th board marks?,1,3,1/3,No,Followed,2020-07-28,https://www.quora.com/What-is-the-cutoff-for-SRM-University-for-IT-now-that-admission-is-only-based-on-12th-board-marks,"Nobody can tell according to marks as VIT never disclose the marks. But let me give you a hint- CSE Vellore closing rank - 6,000IT Vellore closing rank - 10,000 CSE Chennai Closing Rank - 11,000 Its just a guess based on the observation from the past year counselling, there may be quite variations. Hope it helped..!! "
56,SRM-Institute-of-Science-and-Technology-1,"If I get admission in VIT or SRM, should I go because the BITSAT and JEE exams are continuously postponing?",0,2,0/2,No,Requested,2020-07-27,https://www.quora.com/If-I-get-admission-in-VIT-or-SRM-should-I-go-because-the-BITSAT-and-JEE-exams-are-continuously-postponing,"You or none will be sure of admissions at BITS because of the situation this year which is unique. Suggest to take admission in VIT and in case you get at BITS / IIT / NIIT, you can cancel and join here. You will loose a minimal amount only "
57,SRM-Institute-of-Science-and-Technology-1,"If I get admission in VIT or SRM, should I go because the BITSAT and JEE exams are continuously postponing?",0,2,0/2,No,Requested,2020-07-27,https://www.quora.com/If-I-get-admission-in-VIT-or-SRM-should-I-go-because-the-BITSAT-and-JEE-exams-are-continuously-postponing,"If you have given JEE Mains of January 2020 and percentile is above 93, then you can try your best for JEE Mains in next attempt. But if you do not have any preparation of these exams, try for VIT. "
58,SRM-Institute-of-Science-and-Technology-1,Which stream in engineering can I get to the SRM main campus? I have 72% in PCM.,1,1,1/1,No,Followed,2020-07-27,https://www.quora.com/Which-stream-in-engineering-can-I-get-to-the-SRM-main-campus-I-have-72-in-PCM,"Mostly u have the chances of getting civil branch , mechanical branch and in some cases if not enough students have registered then IT branch too. "
